symbol,shortName,sector,price,marketCap,volume
CHYM,"Chime Financial, Inc.",Technology,25.42,9521772544,3962421
CIFR,Cipher Mining Inc.,Financial Services,15.96,6305669120,37346801
CIGI,Colliers International Group In,Real Estate,136.7,6963678208,130504
CIGL,Concorde International Group Lt,Industrials,2.07,55859916,34737
CIIT,"Tianci International, Inc.",Industrials,0.629,15430505,415898
CINF,Cincinnati Financial Corporatio,Financial Services,160.89,25159401472,576501
CING,Cingulate Inc.,Healthcare,5.74,42741680,197777
CISO,"CISO Global, Inc.",Technology,0.4368,19239444,630808
CISS,C3is Inc.,Industrials,1.83,2260050,622930
CIVB,"Civista Bancshares, Inc.",Financial Services,24.13,500634016,98262
CJMB,Callan JMB Inc.,Industrials,1.66,7674224,3396654
CLAR,Clarus Corporation,Consumer Cyclical,3.83,147078976,136363
CLBK,"Columbia Financial, Inc.",Financial Services,16.27,1707164544,114734
CLBT,Cellebrite DI Ltd.,Technology,14.71,3596140544,1267468
CLDX,"Celldex Therapeutics, Inc.",Healthcare,24.6,1634657024,768352
CLFD,"Clearfield, Inc.",Technology,29.77,412216800,121386
CLGN,CollPlant Biotechnologies Ltd.,Healthcare,1.89,24147368,27165
CLIK,CLICK HOLDINGS LIMITED,Consumer Cyclical,4.3951,14341357,114116
CLIR,ClearSign Technologies Corporat,Industrials,0.601,32017316,149300
CLLS,Cellectis S.A.,Healthcare,3.79,387108704,96783
CLMB,"Climb Global Solutions, Inc.",Technology,118.59,547108672,70632
CLMT,"Calumet, Inc",Basic Materials,22.41,1944164352,897752
CLNE,Clean Energy Fuels Corp.,Energy,2.2,482462208,1198822
CLNN,Clene Inc.,Consumer Defensive,4.09,48173280,181493
CLOV,"Clover Health Investments, Corp",Healthcare,2.24,1157358848,5953972
CLPS,CLPS Incorporation,Technology,1.05,31230624,21160
CLPT,ClearPoint Neuro Inc.,Healthcare,12.93,384645632,800029
CLRB,"Cellectar Biosciences, Inc.",Healthcare,3.22,13653232,87773
CLRO,"ClearOne, Inc.",Technology,6.47,14479290,12270
CLSK,"CleanSpark, Inc.",Financial Services,11.84,3028084480,31565622
CLST,"Catalyst Bancorp, Inc.",Financial Services,15.55,63967412,5808
CLWT,Euro Tech Holdings Company Limi,Industrials,1.28,9749560,55000
CLYM,"Climb Bio, Inc.",Healthcare,4.47,304784384,1250626
CMBM,Cambium Networks Corporation,Technology,1.45,40953524,3286157
CMCO,Columbus McKinnon Corporation,Industrials,21.08,605591744,292680
CMCSA,Comcast Corporation,Communication Services,29.75,117249646592,39238583
CMCT,Creative Media,Real Estate,3.03,2869500,3904955
CME,CME Group Inc.,Financial Services,289.06,103920656384,1904190
CMMB,Chemomab Therapeutics Ltd.,Healthcare,1.55,9540431,82991
CMND,Clearmind Medicine Inc.,Healthcare,2.17,3254650,421310
CMPR,Cimpress PLC,Industrials,79.09,1951291264,163968
CMPS,COMPASS Pathways Plc - American,Healthcare,6.69,642353984,1650596
CMPX,"Compass Therapeutics, Inc.",Healthcare,6.4,1138317440,2196108
CMRC,"Commerce.com, Inc. - Series 1",Technology,3.12,253541616,836773
CMTL,Comtech Telecommunications Corp,Technology,5.56,164739328,354995
CNCK,Coincheck Group N.V.,Financial Services,2.86,388751552,662539
CNDT,Conduent Incorporated,Technology,1.39,219583872,1335934
CNET,ZW Data Action Technologies Inc,Communication Services,1.175,3840451,9483
CNEY,CN Energy Group Inc.,Basic Materials,1.01,5679993,2324663
CNOB,"ConnectOne Bancorp, Inc.",Financial Services,26.62,1338269696,277842
CNSP,"CNS Pharmaceuticals, Inc.",Healthcare,5.58,3461218,35532
CNTA,Centessa Pharmaceuticals plc,Healthcare,24.57,3631935744,1791422
CNTB,Connect Biopharma Holdings Limi,Healthcare,2.4,134168432,284688
CNTX,Context Therapeutics Inc.,Healthcare,2.61,239804640,1225747
CNTY,"Century Casinos, Inc.",Consumer Cyclical,1.52,46637556,123900
CNVS,Cineverse Corp.,Communication Services,2.0,38300808,134342
CNXC,Concentrix Corporation,Technology,37.35,2325315328,1132483
CNXN,"PC Connection, Inc.",Technology,58.81,1493127424,76104
COCH,"Envoy Medical, Inc.",Healthcare,0.6499,18804832,280831
COCO,"The Vita Coco Company, Inc.",Consumer Defensive,53.35,3038189312,730870
COCP,"Cocrystal Pharma, Inc.",Healthcare,0.9802,13511141,77539
CODA,"Coda Octopus Group, Inc.",Industrials,10.65,120031616,95114
COEP,"Coeptis Therapeutics Holdings, ",Healthcare,13.86,79864384,73178
COFS,"ChoiceOne Financial Services, I",Financial Services,28.69,431030912,134277
COGT,"Cogent Biosciences, Inc.",Healthcare,35.91,5512385024,3303704
COHU,"Cohu, Inc.",Technology,28.54,1332607360,626455
COIN,"Coinbase Global, Inc. - 3",Financial Services,194.74,52513124352,9172670
COKE,"Coca-Cola Consolidated, Inc.",Consumer Defensive,152.06,10129320960,495667
COLA,Columbus Acquisition Corp,Financial Services,10.57,83971152,69091
COLAU,Columbus Acquisition Corp,Financial Services,11.2,88976048,204
COLB,"Columbia Banking System, Inc.",Financial Services,29.44,8806121472,2748880
COLL,"Collegium Pharmaceutical, Inc.",Healthcare,45.92,1451575936,550513
COLM,Columbia Sportswear Company,Consumer Cyclical,55.28,3027689216,574427
COO,"The Cooper Companies, Inc.",Healthcare,81.38,16179069952,2663245
COOT,Australian Oilseeds Holdings Li,Consumer Defensive,0.68,18971008,198468
CORT,Corcept Therapeutics Incorporat,Healthcare,39.87,4201170688,1793598
CORZ,"Core Scientific, Inc.",Technology,17.99,5578002944,12385127
COSM,Cosmos Health Inc.,Healthcare,0.4804,17941030,764308
COST,Costco Wholesale Corporation,Consumer Defensive,940.25,417431224320,2748391
COYA,"Coya Therapeutics, Inc.",Healthcare,4.65,97298720,238731
CPB,The Campbell's Company,Consumer Defensive,27.98,8341795840,6776052
CPBI,"Central Plains Bancshares, Inc.",Financial Services,17.51,73766808,3950
CPHC,Canterbury Park Holding Corpora,Consumer Cyclical,15.5,79038720,1585
CPIX,Cumberland Pharmaceuticals Inc.,Healthcare,3.75,56099764,176168
CPOP,"Pop Culture Group Co., Ltd",Communication Services,0.416,34086640,279308
CPRT,"Copart, Inc.",Industrials,40.58,39282159616,8869936
CPRX,"Catalyst Pharmaceuticals, Inc.",Healthcare,24.3,2986770944,1312724
CPSH,CPS Technologies Corp.,Technology,5.34,96009344,282247
CPSS,"Consumer Portfolio Services, In",Financial Services,8.63,191794752,20650
CPZ,Calamos Long/Short Equity & Dyn,Financial Services,14.78,290163808,90644
CRAC,Crown Reserve Acquisition Corp.,Unknown,9.98,215193744,218061
CRAI,"CRA International,Inc.",Industrials,188.94,1243998592,104372
CRAN,Crane Harbor Acquisition Corp. ,Unknown,10.0,469000000,251357
CRAQ,Cal Redwood Acquisition Corp.,Unknown,10.18,396936544,15067
CRBP,Corbus Pharmaceuticals Holdings,Healthcare,8.27,145163616,354737
CRBU,"Caribou Biosciences, Inc.",Healthcare,1.41,131789936,2311126
CRCT,"Cricut, Inc.",Technology,4.47,949724736,539001
CRDF,"Cardiff Oncology, Inc.",Healthcare,1.75,117880976,1220445
CRDL,Cardiol Therapeutics Inc.,Healthcare,0.9507,105927688,450547
CRDO,Credo Technology Group Holding ,Technology,125.28,22629539840,6093598
CRE,Cre8 Enterprise Limited,Industrials,0.3255,7866521,448695
CREG,Smart Powerr Corp.,Utilities,1.15,23930492,74581
CRESY,Cresud S.A.C.I.F. y A.,Industrials,13.51,943177344,258413
CREV,Carbon Revolution Public Limite,Consumer Cyclical,1.59,3065226,108842
CREX,"Creative Realities, Inc.",Technology,3.12,32819066,80504
CRGO,Freightos Limited,Industrials,2.12,108725992,100268
CRIS,"Curis, Inc.",Healthcare,0.898,11610110,470122
CRMD,CorMedix Inc.,Healthcare,7.76,611403008,3336514
CRML,Critical Metals Corp.,Basic Materials,13.17,1552802304,14573542
CRMT,"America's Car-Mart, Inc.",Consumer Cyclical,25.72,213342432,160644
CRNC,Cerence Inc.,Technology,11.33,510031648,1246277
CRNT,Ceragon Networks Ltd.,Technology,2.3,206746928,640683
CRNX,"Crinetics Pharmaceuticals, Inc.",Healthcare,49.94,5119440896,1358772
